编号	类型	原文	参考译文	必须包含	禁止包含	说明
announcement-big-run	公告	今週末は、ビッグビッグランが復刻開催される。初めて参加される方も、歴戦のバイト戦士のみなさんも、ぜひ街の防衛に力を貸していただきたい。	本周末，“超级大型跑”将复刻举办。无论是首次参加的玩家，还是身经百战的打工战士，都请来为保卫城市贡献一份力量。	超级大型跑|复刻举办	大型大型跑|大大型跑	活动专名必须采用游戏简中数据
guide-grizzco-splatana	攻略	クマワイパーは装甲の他に地形も貫通するのでゴンズイの橋下の敵にも当たります。	熊刀除了能穿透装甲，还能穿透地形，所以也能打到鳗鲶区桥下的敌人。	熊刀|鳗鲶区|穿透地形	熊先生印章刮水刀除了能	社区攻略允许采用清晰的常用简称
dialogue-deep-cut	对话	ウツホ「チャカ持ってシャケをボコるからじゃな？」フウカ「この間1人で突っ込んで逆にボコられとったやん」マンタロー「エイッ！(ボコじゃなくてポコだし、そんな物騒な話じゃないよ！)」	曼曼：“因为拿着家伙去揍鲑鱼吧？”莎莎：“你上次一个人冲进去，反倒被揍了吧。”鬼福：“鳐！（不是‘揍’，是‘奏’啦，才不是什么暴力的话题！）”	曼曼|莎莎|鬼福|揍|奏	乌兹霍|风花|曼塔罗	保留角色口吻并重建ボコ／ポコ文字梗
rant-squiffer	吐槽	お願いなのでスクイク消してください。持つだけで利敵になってます。	求求了，把鱿快洁删了吧。光是拿这武器出来就在坑队友。	鱿快洁|坑队友	スクイク|资敌	采用玩家口吻，不把利敵自动升级为故意资敌
unknown-proper-noun	未知专名	「チャカポコ」の由来はまだ明らかになっていない。	「チャカポコ」这一名称的由来尚未揭晓。	「チャカポコ」	恰卡波可|锵卡波可	未知专名保留原文，不自行音译
raiders-deep-cut-title	术语	すりみ連合チャカポコ遭難記	鱼浆帮咚咚咚落难记	鱼浆帮咚咚咚落难记	「チャカポコ」|恰卡波可|锵卡波可	已确认标题应使用记录译名，不保留原文或音译
short-social-title	吐槽	【発狂】パブロさん、焦りすぎた結果アサリでとんでもない沼プレイを披露してしまう	【抓狂】巴勃罗太着急，结果在真格蛤蜊里打出了一波离谱的下饭操作。	巴勃罗|真格蛤蜊|下饭操作	##|关键术语|推荐译文|官方术语版|社群常用口语版	短标题应只给一版自然译文，不输出术语解析或多版本
multi-line-social-rant	吐槽	【何故】イカ研さん、頑張ってるはずなのに叩かれてしまう…\n・マッチングが遅い！ → じゃあ幅広いレートでマッチさせるか\n・勝ってもパワー増えない！ → じゃあ最低保証つけるか\n・編成差がある！ → じゃあミラーマッチにするか	【为什么】研究所明明应该已经很努力了，却还是被喷……\n・匹配太慢！→ 那就放宽分段范围来匹配吧\n・赢了也不加分！→ 那就加个最低保障吧\n・阵容有差距！→ 那就改成镜像匹配吧	研究所|匹配|分段|最低保障|镜像匹配	##|关键术语|背景解析|推荐译文|术语	多行社交帖也应保持原结构，只输出译文正文
salmon-donburako-griller	鲑鱼跑	ドンブラコのグリルはイクラはあるけど納品進まなくて終わること多いので、ある程度イクラ溜まって納品すれば勝てると判断したらこういう動きもオススメです。	漂浮落难船的烤架鱼经常是金鲑鱼卵有了，但交蛋进度推不动，最后翻车。所以如果已经攒到一定数量的蛋，并判断只要能交上去就能赢，也推荐这样打。	漂浮落难船|烤架鱼|交蛋|金鲑鱼卵	烤肉架|提交鲑鱼卵|##	鲑鱼跑攻略需自然使用社区口语
patch-bullet-spread-buff	补丁	ジャンプ中の射撃のブレを約8%軽減しました。	将跳跃中射击的偏移减少了约 8%。	跳跃中|射击|偏移|减少	暴风伤害|范围伤害|削弱	补丁语境中ブレ是射击偏移，軽減是加强稳定性
short-weapon-slang-zapper	术语	ザッパー	N-ZAP 系	N-ZAP	红精英枪|精英枪	单独ザッパー只应译作 N-ZAP 系，不应混入错误俗称
salmon-weapon-slang-bath	鲑鱼跑	サーモンランでのお風呂の話です。	这是鲑鱼跑里关于泡澡桶的讨论。	鲑鱼跑|泡澡桶	浴缸|澡盆|##	お風呂在武器语境应译为泡澡桶，不按字面翻译
guide-wall-roll	攻略	下から直接入るやつは気合いだと思ってたけど壁ロールの最初から右壁に押しつけるようにすると上手くいきやすい	我本来以为从下面直接进去那种打法全靠手感，但如果从壁滚一开始就像贴着右墙一样去推，会更容易成功。	下面|壁滚|右墙|更容易成功	##|术语解析|推荐译文	普通攻略句不应输出解释
short-kuma-wiper	短句	クマワイパーの本気\nゴリゴリ削れる	熊刀的真正实力\n削起来特别猛	熊刀|削起来特别猛	熊先生印章刮水刀|##|关键术语	短句保留换行，只输出译文
short-dualie-chat	短句	なんか俺のデュアル強くね	怎么感觉我的双枪有点强啊？	双枪|有点强	机动枪|##|推荐译文	玩家聊天保留口气
social-ika-ken-rant	社交帖	【何故】イカ研さん、頑張ってるはずなのに叩かれてしまう…	【为什么】研究所明明应该已经很努力了，却还是被喷……	为什么|研究所|被喷	乌贼研究所|鱿鱼研究所|##	イカ研在玩家帖中可自然译为研究所
salmon-donpiko-route	鲑鱼跑	どんぴこ開幕以外でこっちに投げる人ほとんど見た事ないんだけどこっちであってるよね？	除了鲑鱼心脏斗技场开局以外，我几乎没见过有人往这边扔，所以走这边应该没错吧？	鲑鱼心脏斗技场|开局|这边	どんぴこ|##|关键术语	地图简称应本地命中并自然展开
social-carbon-title	社交帖	カーボン無印が最強すぎるから見なさい	原版碳纤维滚筒强得离谱，快去看。	原版|碳纤维滚筒|强得离谱	碳纤维无印|##|术语	武器标题只输出一版自然译文
combat-jump-buff-explain	补丁	ジャンプ中の射撃のブレを約8%軽減しました。これは強化ですか？	将跳跃中射击的偏移减少了约 8%。这是加强吗？	偏移|减少|加强	暴风|范围伤害|削弱	问答语境仍应保持ブレ含义
unknown-name-no-transliteration	未知专名	新イベント「ウズシオ諸島カップ」が発表された。	新活动「ウズシオ諸島カップ」已公布。	「ウズシオ諸島カップ」	涡潮群岛杯|乌兹西奥|音译	未知活动名未确认时保留原文
ui-compact-label	系统	ロビーに戻る	返回大厅	返回大厅	回到大厅中|返回至大厅|##	UI 文案应简短
english-mixed-weapon	攻略	Use Long Blaster on ナンプラー遺跡 and hold エリア.	在鱼露遗迹用远距爆破枪压住真格区域。	鱼露遗迹|远距爆破枪|真格区域	Long Blaster|ナンプラー|区域模式	日英混合攻略应同时查官方术语和模式简称
