日文	推荐简中	类别	说明	来源	状态	风险
打開	打回去	对战战术	劣势时重整队伍、积攒资源后夺回局面；不是字面上的“打开”	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
抑え	压制	对战战术	取得优势后压住敌方复活点或关键区域，阻止对手打回	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
前線	前线	对战战术	双方交战并争夺控制权的区域	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
前に出る	往前压	对战战术	向前推进站位；按语境也可译为顶上去或主动前压	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
対面	正面对枪	对战战术	与一名敌人直接交战；不等同于泛指线下见面	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
裏取り	绕后	对战战术	绕开正面战线从敌方侧后方进攻	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
牽制	牵制	对战战术	用攻击、炸弹或威胁限制敌方移动和选择	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
盤面	场面	对战战术	当前地图上的涂墨、站位与控制状态；强调涂地时可译为地面局势	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
盤面を荒らす	搅乱场面	对战战术	高速移动、涂墨或骚扰，打乱敌方阵形和控制	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
ガン積み	堆满	配装	大量装备同一种装备能力	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
確定数	确定击数	战斗数据	击倒满状态敌人所需的命中次数	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
確1	一击击倒	战斗数据	一次命中即可击倒满状态敌人；范围语境可译为一击区	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
キル	击倒	对战用语	击倒敌方玩家；社区口语也常保留为击杀	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
デス	阵亡	对战用语	自己或队友被击倒	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
吐く	交掉	对战用语	使用特殊武器；按语气也可译为开大或放掉	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
抱え落ち	捏着大招阵亡	对战用语	特殊武器已经可用却在释放前阵亡	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
枚数	人数	对战用语	场上仍能行动或参与交战的队员数量	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	中
人数有利	人数优势	对战用语	己方存活或可交战人数多于对方	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
人数不利	人数劣势	对战用语	己方存活或可交战人数少于对方	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	低
ヘイト	仇恨	对战战术	敌方注意力或攻击目标；按句子可译为吸引火力	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	中
利敵	坑队友	玩家评价	行为客观上帮助敌方；严重时可译为资敌，但不自动断言是故意	https://wikiwiki.jp/splatoon3mix/用語集/注意すべき用語	seeded	高
地雷	坑队友的玩家	玩家评价	贬义称呼，指表现或行为严重拖累队伍的玩家	https://wikiwiki.jp/splatoon3mix/用語集/注意すべき用語	seeded	高
芋	蹲后排	玩家评价	长期停留后方或固定位置、很少推进；通常带批评意味	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	高
芋る	蹲在后排	玩家评价	长期停留后方或固定位置不推进	https://wikiwiki.jp/splatoon3mix/用語集/対戦関連用語	seeded	高
